Denumire medicament,Substanta activa,Lista de compensare,Cod medicament,Formă farmaceutica,Cod ATC,Mod de prescriere,Concentratie,Forma de ambalare,Nume detinator APP,Tara detinator APP,Cantitate pe forma ambalare,Preț maximal al medicamentului raportat la forma de ambalare,Pret maximal al medicamentului raportat la UT,"Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 100% din prețul de referinta","Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiaza de compensare 90% - sublista A, 50% - sublista B, 20% - sublista D din prețul de referinta","Contribuție maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 90% din pretul de referinta, pentru pensionari cu venituri de pana la 1.299 lei/luna inclusiv"
OLMESARTAN MEDOXOMIL/AMLODIPINA ZENTIVA 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64086002,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,7086,2530714,0769643,1650179,945751.0
OLSSA 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64153002,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,HCS BVBA,BELGIA,28,4931,1761071,0000000,0880536,176108.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64247001,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,28,4280,1528571,0000000,0764286,152858.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64247006,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. PERFORATE PT. ELIBERAREA UNEI UNITATI DOZATE OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,28,4280,1528571,0000000,0764286,152858.0
SEVIKAR 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64428002,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ALVOGEN MALTA OPERATIONS (ROW) LTD.,MALTA,28,5335,1905357,0144286,1024822,320394.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W65816001,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,28,4280,1528571,0000000,0764286,152858.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W65816006,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. PERFORATE PT. ELIBERAREA UNEI UNITATI DOZATE OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,28,4280,1528571,0000000,0764286,152858.0
SALVO 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W66043002,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,TERAPIA SA,ROMANIA,28,4931,1761071,0000000,0880536,176108.0
OLSSA 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W67078002,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-PVC/AL X 28 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,28,4931,1761071,0000000,0880536,176108.0
OLSSA 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W67078011,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU UN PACHET CALENDAR DIN OPA-PVC/AL X 28 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,28,4931,1761071,0000000,0880536,176108.0
INOVUM 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W53446002,COMPR. FILM.,C09DB02,P-6L,40mg/5mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 28 COMPR. FILM.,MENARINI INTERNATIONAL OPERATIONS LUXEMBURG S.A.,LUXEMBOURG,28,4977,1777500,0192537,0985019,351034.0
SEVIKAR 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W57426002,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,TERAPIA S.A.,ROMANIA,28,4964,1772857,0187894,0980376,346391.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ZENTIVA 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64085002,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,6569,2346071,0761108,1553590,919605.0
OLSSA 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64152002,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,HCS BVBA,BELGIA,28,4578,1635000,0050037,0842519,208534.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64246001,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,28,3907,1395357,0000000,0697679,139536.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64246006,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. PERFORATE PT. ELIBERAREA UNEI UNITATI DOZATE OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,28,3907,1395357,0000000,0697679,139536.0
SEVIKAR 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64427002,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ALVOGEN MALTA OPERATIONS (ROW) LTD.,MALTA,28,4964,1772857,0187894,0980376,346391.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W65815001,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,28,3907,1395357,0000000,0697679,139536.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W65815006,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. PERFORATE PT. ELIBERAREA UNEI UNITATI DOZATE OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,28,3907,1395357,0000000,0697679,139536.0
SALVO 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W66042002,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,TERAPIA SA,ROMANIA,28,4576,1634285,0049322,0841804,207819.0
OLSSA 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W67077002,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU BLIST. OPA-PVC/AL X 28 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,28,4578,1635000,0050037,0842519,208534.0
OLSSA 40 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W67077011,COMPR. FILM.,C09DB02,P6L,40mg/5mg,CUTIE CU UN PACHET CALENDAR DIN OPA-PVC/AL X 28 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,28,4578,1635000,0050037,0842519,208534.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W57234002,COMPR. FILM.,C09DX01,PRF,"10mg/160mg/12,5 mg",CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,MAREA BRITANIE,28,9723,3472500,0439167,1955834,742501.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W64768002,COMPR. FILM.,C09DX01,PRF,"10mg/160mg/12,5 mg",CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,IRLANDA,28,9723,3472500,0430856,1951678,735021.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W57236002,COMPR. FILM.,C09DX01,PRF,10mg/160mg/25 mg,CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,MAREA BRITANIE,28,10107,3609642,0368546,1989094,692656.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W64769002,COMPR. FILM.,C09DX01,PRF,10mg/160mg/25 mg,CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,IRLANDA,28,10107,3609642,0368546,1989094,692656.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W57233002,COMPR. FILM.,C09DX01,PRF,"5mg/160mg/12,5 mg",CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,MAREA BRITANIE,28,8413,3004642,0054413,1529528,349436.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W64770002,COMPR. FILM.,C09DX01,PRF,"5mg/160mg/12,5 mg",CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,IRLANDA,28,8413,3004642,0046104,1525373,341958.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W57235002,COMPR. FILM.,C09DX01,PRF,5mg/160mg/25 mg,CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,MAREA BRITANIE,28,8429,3010357,0000000,1505179,301036.0
EXFORGE HCT,COMBINATII (AMLODIPINA+VALSARTAN+HCT),B,W64771002,COMPR. FILM.,C09DX01,PRF,5mg/160mg/25 mg,CUTIE CU BLIST. DIN PVC/PVDC X 28 COMPR.FILM.,NOVARTIS EUROPHARM LTD.,IRLANDA,28,8429,3010357,0000000,1505179,301036.0
LESCOL XL 80 mg,FLUVASTATINUM,B,W51412001,COMPR. ELIB. PREL.,C10AA04,P-6L,80mg,CUTIE CU BLIST. AL/AL X 28 (4X7) COMPR. ELIB. PREL.,NOVARTIS PHARMA GMBH,GERMANIA,28,1883,0672500,0000000,0336250,67250.0
FLUVASTATIN ARENA 80 mg,FLUVASTATINUM,B,W63181001,COMPR. ELIB. PREL.,C10AA04,P6L,80mg,CUTIE CU 3 BLIST. AL/AL X 10 COMPR. ELIB. PREL.,ARENA GROUP S.A.,ROMANIA,30,2015,0671666,0000000,0335833,67167.0
SORTIS 10 mg,ATORVASTATINUM,B,W12893001,COMPR. FILM.,C10AA05,P-6L,10mg,CUTIE CU BLIST. AL/AL X 30 COMPR. FILM.,PFIZER EUROPE MA EEIG,MAREA BRITANIE,30,2738,0912666,0655604,0784135,681311.0
ATORIS 10 mg,ATORVASTATINUM,B,W54696006,COMPR. FILM.,C10AA05,P-6L,10mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 28 COMPR.FILM.,KRKA D.D. NOVO MESTO,SLOVENIA,28,1097,0391785,0134723,0263254,160430.0
ASCORD 10 mg,ATORVASTATINUM,B,W55516003,COMPR. FILM.,C10AA05,P-6L,10mg,CUTIE X 3 BLIST. OPA-AL-PVC/AL X 10 COMPR. FILM.,TERAPIA SA,ROMANIA,30,1116,0372000,0114938,0243469,140645.0
ATORVASTATINA AUROBINDO 10 mg,ATORVASTATINUM,B,W61225003,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,416,0138666,0000000,0069333,13867.0
TORVACARD 10 mg,ATORVASTATINUM,B,W62152005,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,891,0297000,0039938,0168469,65645.0
ATORVASTATINA ACCORD 10 mg,ATORVASTATINUM,B,W64099007,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,30,416,0138666,0000000,0069333,13867.0
SORTIS 10 mg,ATORVASTATINUM,B,W64877001,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,PFIZER EUROPE MA EEIG,BELGIA,30,2738,0912666,0655604,0784135,681311.0
ATORVASTATIN TERAPIA 10 mg,ATORVASTATINUM,B,W65497005,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,TERAPIA S.A.,ROMANIA,30,715,0238333,0000000,0119167,23834.0
ATORVASTATINA ARENA 10 mg,ATORVASTATINUM,B,W65547003,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU 3 BLIST. PA-AL-PVC/AL A CATE 10 COMPRIMATE FILMATE,ARENA GROUP S.A.,ROMANIA,30,1156,0385333,0128271,0256802,153978.0
ATORVASTATINA ACCORD 10 mg,ATORVASTATINUM,B,W66304007,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,30,416,0138666,0000000,0069333,13867.0
ATORVASTATINA AUROBINDO 10 mg,ATORVASTATINUM,B,W66444003,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,416,0138666,0000000,0069333,13867.0
ATORVASTATINA AUROBINDO 10 mg,ATORVASTATINUM,B,W66444016,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. PVC-PE-PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,416,0138666,0000000,0069333,13867.0
ATORVASTATINA MSN 10 mg,ATORVASTATINUM,B,W66680001,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. OPA-PVC/AL X 28 COMPR. FILM.,"VIVANTA GENERICS S.R.O.,",REPUBLICA CEHA,28,730,0260714,0003652,0132183,29359.0
SORTIS 10 mg,ATORVASTATINUM,B,W67270001,COMPR. FILM.,C10AA05,P6L,10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,UPJOHN EESV,OLANDA,30,2738,0912666,0655604,0784135,681311.0
SORTIS 20 mg,ATORVASTATINUM,B,W12894001,COMPR. FILM.,C10AA05,P-6L,20mg,CUTIE CU BLIST. AL/AL X 30 COMPR. FILM.,PFIZER EUROPE MA EEIG,MAREA BRITANIE,30,3400,1133333,0619209,0876271,670622.0
ATORIS 20 mg,ATORVASTATINUM,B,W54697006,COMPR. FILM.,C10AA05,P-6L,20mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 28 COMPR.FILM.,KRKA D.D. NOVO MESTO,SLOVENIA,28,1012,0361428,0000000,0180714,36143.0
ASCORD 20 mg,ATORVASTATINUM,B,W55517003,COMPR. FILM.,C10AA05,P-6L,20mg,CUTIE X 3 BLIST. OPA-AL-PVC/AL X 10 COMPR. FILM.,TERAPIA SA,ROMANIA,30,1769,0589666,0075542,0332604,126955.0
ATORVASTATINA AUROBINDO 20 mg,ATORVASTATINUM,B,W61226003,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,898,0299333,0000000,0149667,29934.0
TORVACARD 20 mg,ATORVASTATINUM,B,W62153005,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,1313,0437666,0000000,0218833,43767.0
ATORVASTATINA ACCORD 20 mg,ATORVASTATINUM,B,W64100007,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,30,810,0270000,0000000,0135000,27000.0
SORTIS 20 mg,ATORVASTATINUM,B,W64878001,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,PFIZER EUROPE MA EEIG,BELGIA,30,3400,1133333,0619209,0876271,670622.0
ATORVASTATIN TERAPIA 20 mg,ATORVASTATINUM,B,W65499005,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,TERAPIA S.A.,ROMANIA,30,858,0286000,0000000,0143000,28600.0
ATORVASTATINA ARENA 20 mg,ATORVASTATINUM,B,W65548003,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU 3 BLIST. PA-AL-PVC/AL A CATE 10 COMPRIMATE FILMATE,ARENA GROUP S.A.,ROMANIA,30,1063,0354333,0000000,0177167,35434.0
ATORVASTATINA ACCORD 20 mg,ATORVASTATINUM,B,W66305007,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,30,810,0270000,0000000,0135000,27000.0
ATORVASTATINA AUROBINDO 20 mg,ATORVASTATINUM,B,W66445003,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,898,0299333,0000000,0149667,29934.0
ATORVASTATINA AUROBINDO 20 mg,ATORVASTATINUM,B,W66445016,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. PVC-PE-PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,897,0299000,0000000,0149500,29900.0
ATORVASTATINA MSN 20 mg,ATORVASTATINUM,B,W66681001,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. OPA-PVC/AL X 28 COMPR. FILM.,"VIVANTA GENERICS S.R.O.,",REPUBLICA CEHA,28,875,0312500,0000000,0156250,31250.0
SORTIS 20 mg,ATORVASTATINUM,B,W67271001,COMPR. FILM.,C10AA05,P6L,20mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,UPJOHN EESV,OLANDA,30,3400,1133333,0619209,0876271,670622.0
ATORIS 30 mg,ATORVASTATINUM,B,W57506007,COMPR. FILM.,C10AA05,P6L,30mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,30,1954,0651333,0000000,0325667,65134.0
SORTIS 40 mg,ATORVASTATINUM,B,W12895001,COMPR. FILM.,C10AA05,P-6L,40mg,CUTIE CU BLIST. AL/AL X 14 COMPR. FILM.,PFIZER EUROPE MA EEIG,MAREA BRITANIE,14,1735,1239285,0211036,0725161,313861.0
ATORIS 40 mg,ATORVASTATINUM,B,W54698004,COMPR. FILM.,C10AA05,P-6L,40mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 14 COMPR.FILM.,KRKA D.D. NOVO MESTO,SLOVENIA,14,1547,1105000,0076751,0590876,179576.0
ATORIS 40 mg,ATORVASTATINUM,B,W54698007,COMPR. FILM.,C10AA05,P-6L,40mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 30 COMPR.FILM.,KRKA D.D. NOVO MESTO,SLOVENIA,30,2077,0692333,0000000,0346167,69234.0
ASCORD 40 mg,ATORVASTATINUM,B,W55518003,COMPR. FILM.,C10AA05,P-6L,40mg,CUTIE X 3 BLIST. OPA-AL-PVC/AL X 10 COMPR. FILM.,TERAPIA SA,ROMANIA,30,3430,1143333,0115084,0629209,217909.0
ATORVASTATINA AUROBINDO 40 mg,ATORVASTATINUM,B,W61227003,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,1653,0551000,0000000,0275500,55100.0
TORVACARD 40 mg,ATORVASTATINUM,B,W62154005,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,2035,0678333,0000000,0339167,67834.0
ATORVASTATINA ACCORD 40 mg,ATORVASTATINUM,B,W64101007,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,30,1707,0569000,0000000,0284500,56900.0
ATORVASTATINA AUROBINDO 40 mg,ATORVASTATINUM,B,W61227016,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. PVC/PE/PVDC-AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,1653,0551000,0000000,0275500,55100.0
SORTIS 40 mg,ATORVASTATINUM,B,W64879006,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 14 COMPR. FILM.,PFIZER EUROPE MA EEIG,BELGIA,14,1735,1239285,0211036,0725161,313861.0
ATORVASTATIN TERAPIA 40 mg,ATORVASTATINUM,B,W65501005,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,TERAPIA S.A.,ROMANIA,30,3274,1091333,0063084,0577209,165909.0
ATORVASTATINA ARENA 40 mg,ATORVASTATINUM,B,W65549003,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30(3X10) COMPR. FILM.,ARENA GROUP S.A.,ROMANIA,30,2080,0693333,0000000,0346667,69334.0
ATORVASTATINA ACCORD 40 mg,ATORVASTATINUM,B,W66306007,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,30,1707,0569000,0000000,0284500,56900.0
ATORVASTATINA AUROBINDO 40 mg,ATORVASTATINUM,B,W66446003,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,1653,0551000,0000000,0275500,55100.0
ATORVASTATINA AUROBINDO 40 mg,ATORVASTATINUM,B,W66446016,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. PVC/PE/PVDC-AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,1653,0551000,0000000,0275500,55100.0
ATORVASTATINA MSN 40 mg,ATORVASTATINUM,B,W66682001,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. OPA-PVC/AL X 28 COMPR. FILM.,"VIVANTA GENERICS S.R.O.,",REPUBLICA CEHA,28,1606,0573571,0000000,0286786,57358.0
SORTIS 40 mg,ATORVASTATINUM,B,W67272006,COMPR. FILM.,C10AA05,P6L,40mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 14 COMPR. FILM.,UPJOHN EESV,OLANDA,14,1735,1239285,0211036,0725161,313861.0
ATORIS 60 mg,ATORVASTATINUM,B,W57507007,COMPR. FILM.,C10AA05,P6L,60mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,30,3217,1072333,0000000,0536167,107234.0
SORTIS 80 mg,ATORVASTATINUM,B,W12897001,COMPR. FILM.,C10AA05,P-6L,80mg,CUTIE CU BLIST. AL/AL X 14 COMPR. FILM.,PFIZER EUROPE MA EEIG,MAREA BRITANIE,14,1569,1120714,0000000,0560357,112072.0
ASCORD 80 mg,ATORVASTATINUM,B,W55519003,COMPR. FILM.,C10AA05,P-6L,80mg,CUTIE X 3 BLIST. OPA-AL-PVC/AL X 10 COMPR. FILM.,TERAPIA SA,ROMANIA,30,3391,1130333,0000000,0565167,113034.0
ATORIS 80 mg,ATORVASTATINUM,B,W57508007,COMPR. FILM.,C10AA05,P6L,80mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,30,3270,1090000,0000000,0545000,109000.0
ATORVASTATIN RANBAXY 80 mg,ATORVASTATINUM,B,W59349005,COMPR. FILM.,C10AA05,P6L,80mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,RANBAXY (U.K.) LIMITED,MAREA BRITANIE,30,3391,1130333,0000000,0565167,113034.0
ATORVASTATINA AUROBINDO 80 mg,ATORVASTATINUM,B,W61228003,COMPR. FILM.,C10AA05,P6L,80mg,CUTIE CU BLIST. PA-AL-PVC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,1636,0545333,0000000,0272667,54534.0
TORVACARD 80 mg,ATORVASTATINUM,B,W62155005,COMPR. FILM.,C10AA05,P6L,80mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,3391,1130333,0000000,0565167,113034.0
ATORVASTATINA AUROBINDO 80 mg,ATORVASTATINUM,B,W61228013,COMPR. FILM.,C10AA05,P6L,80mg,CUTIE CU BLIST. PVC/PE/PVDC-AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,1636,0545333,0000000,0272667,54534.0
SORTIS 80 mg,ATORVASTATINUM,B,W64880006,COMPR. FILM.,C10AA05,P6L,80mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 14 COMPR. FILM.,PFIZER EUROPE MA EEIG,BELGIA,14,1569,1120714,0000000,0560357,112072.0
